time,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795752315707072,0.0,0.0,0.0,0.0,0.0,2.02
1713795752326548019,0.0,0.0,0.0,0.0,0.0,2.02
1713795752335454972,0.0,0.0,0.0,0.0,0.0,2.02
1713795752548277980,0.0,0.0,0.0,0.0,0.0,2.02
1713795752548358857,0.0,0.0,0.0,0.0,0.0,2.02
1713795752548435893,0.0,0.0,0.0,0.0,0.0,2.02
1713795752548474096,0.0,0.0,0.0,0.0,0.0,2.02
1713795752549717773,0.0,0.0,0.0,0.0,0.0,1.98
1713795752549777907,0.0,0.0,0.0,0.0,0.0,1.98
1713795752549802282,0.0,0.0,0.0,0.0,0.0,1.98
1713795752549838530,0.0,0.0,0.0,0.0,0.0,1.94
1713795752549869400,0.0,0.0,0.0,0.0,0.0,1.93
1713795752549939940,0.0,0.0,0.0,0.0,0.0,1.93
1713795752549990296,0.0,0.0,0.0,0.0,0.0,1.93
1713795752550011738,0.0,0.0,0.0,0.0,0.0,1.93
1713795752550029408,0.0,0.0,0.0,0.0,0.0,1.93
1713795752550039395,0.0,0.0,0.0,0.0,0.0,1.89
1713795752550053713,0.0,0.0,0.0,0.0,0.0,1.86
1713795752550066564,0.0,0.0,0.0,0.0,0.0,1.86
1713795752550075224,0.0,0.0,0.0,0.0,0.0,1.86
1713795752550083815,0.0,0.0,0.0,0.0,0.0,1.82
1713795752550092755,0.0,0.0,0.0,0.0,0.0,1.82
1713795752550100437,0.0,0.0,0.0,0.0,0.0,1.82
1713795752550110076,0.0,0.0,0.0,0.0,0.0,1.82
1713795752555524648,0.0,0.0,0.0,0.0,0.0,1.82
1713795752567561430,0.0,0.0,0.0,0.0,0.0,1.78
1713795752577661982,0.0,0.0,0.0,0.0,0.0,1.78
1713795752588300109,0.0,0.0,0.0,0.0,0.0,1.78
1713795752598561158,0.0,0.0,0.0,0.0,0.0,1.78
1713795752607175123,0.0,0.0,0.0,0.0,0.0,1.78
1713795752616850477,0.0,0.0,0.0,0.0,0.0,1.78
1713795752625332440,0.0,0.0,0.0,0.0,0.0,1.72
1713795752636915669,0.0,0.0,0.0,0.0,0.0,1.72
1713795752648400001,0.0,0.0,0.0,0.0,0.0,1.72
1713795752658327345,0.0,0.0,0.0,0.0,0.0,1.72
1713795752666028824,0.0,0.0,0.0,0.0,0.0,1.72
1713795752676653750,0.0,0.0,0.0,0.0,0.0,1.68
1713795752684960829,0.0,0.0,0.0,0.0,0.0,1.68
1713795752696072345,0.0,0.0,0.0,0.0,0.0,1.68
1713795752705921955,0.0,0.0,0.0,0.0,0.0,1.68
1713795752716315005,0.0,0.0,0.0,0.0,0.0,1.68
1713795752727306113,0.0,0.0,0.0,0.0,0.0,1.68
1713795752738023300,0.0,0.0,0.0,0.0,0.0,1.59
1713795752748422637,0.0,0.0,0.0,0.0,0.0,1.59
1713795752757706945,0.0,0.0,0.0,0.0,0.0,1.59
1713795752765419529,0.0,0.0,0.0,0.0,0.0,1.59
1713795752775792046,0.0,0.0,0.0,0.0,0.0,1.51
1713795752786018035,0.0,0.0,0.0,0.0,0.0,1.51
1713795752797671804,0.0,0.0,0.0,0.0,0.0,1.5
1713795752806038318,0.0,0.0,0.0,0.0,0.0,1.5
1713795752817359919,0.0,0.0,0.0,0.0,0.0,1.5
